rank,feature,mean_abs_ensemble_shap,mean_abs_member_shap,mean_ensemble_shap,sd_ensemble_shap,min_ensemble_shap,q25_ensemble_shap,median_ensemble_shap,q75_ensemble_shap,max_ensemble_shap,positive_share
22,ine_053,0.008020869755668833,0.00952235304510114,0.006020909882993484,0.006872685079343585,-0.005982728072720174,-0.0019690797925623667,0.008413765463637509,0.009804058801987809,0.0283484554819576,0.72
23,ine_008,0.007601025937597807,0.008018295341715246,0.0044088196395646985,0.008249080075268086,-0.034238757074396664,0.003617874035353174,0.005119326699378087,0.0073905683024030645,0.030494648763781003,0.846
24,cilindrada,0.007371825944807198,0.00804595116235236,0.004671580561291419,0.012084911465012373,-0.1078836049110361,0.004446053816934172,0.005637704077501399,0.006347866230637511,0.034200612815537136,0.962
25,sea_005,0.007335431824479087,0.007874093028564224,0.005086470922822885,0.013895328737446318,-0.18614630160672835,0.00017587739411676465,0.010619028915417654,0.011567083759701792,0.013254699869225877,0.802
26,ine_022,0.006683272775978791,0.007059691661523437,0.0030358414354275014,0.007140727446260122,-0.016238883049806606,0.0007273387208105415,0.007310699727682943,0.007744505783979871,0.007894889174311689,0.796
27,sea_006,0.005965313964727142,0.006054625324906795,0.004602516976152793,0.005843248772333784,-0.05256765777523085,0.00450424736641395,0.004949177906424001,0.006288594387205026,0.009549434522416956,0.976
28,tipocliente,0.005781893958208265,0.005908177554329832,0.0010744736823620786,0.011806109487012958,-0.012316914386161866,-0.0031606468290038196,-0.002460613180149661,-0.0011601713795882816,0.05472826533911919,0.128
29,ine_015,0.005367857877957784,0.005772596865214497,0.003041222271924235,0.005132037961131862,-0.005265607162228474,-0.0027207011243945613,0.00648397547625455,0.006762726836696128,0.011886047797369195,0.598
30,ine_004,0.00489267938530944,0.005256269458706115,0.0007390051964892011,0.009143404197205017,-0.004429476801764613,-0.0029612334634357826,-0.0022406007443257657,-0.0014593397569378306,0.03984912276981813,0.164
31,ine_010,0.004852936575582949,0.00508399281210367,0.0026516008999532617,0.008831638916566591,-0.09298168036214008,0.0035377297905305524,0.0041422584518658635,0.004433366749441006,0.005953190069213402,0.972
32,tipo,0.004657307588920474,0.005057151626374944,0.0020685761071730243,0.005597469648427577,-0.02806338395389657,0.0028688916794417894,0.0035286112235330958,0.004462423949071125,0.009916283902905897,0.87
33,ine_037,0.00453921575518563,0.005456755704873763,0.003903438251230252,0.01901809300842266,-0.005516154475535246,5.18470422852822e-05,0.0004668809445844294,0.0004668809445844294,0.15739560725453777,0.828
34,ine_021,0.004476402642870008,0.00567257676256888,0.0033938560506568487,0.005600112093513159,-0.005295755475360842,0.0014890727299047603,0.003461994755023819,0.004241071119172915,0.02751674632641924,0.812
35,dgc_006,0.003851107391680664,0.005484307550172086,0.0016339530712379013,0.00494431739465678,-0.026445064207334234,-0.0010474069298676571,0.0011721558080874247,0.004888030258060322,0.01184830637554048,0.594
36,dgc_019,0.00382304831612135,0.0042386421036768734,0.0009538352928130174,0.0058065341270005025,-0.02574466731321613,-3.601460585233919e-05,0.0005357237720244606,0.0033897432528340065,0.014178713848017522,0.744
37,ine_050,0.0036006043898724797,0.0038156311935808192,0.0012215365176955863,0.004256691044496676,-0.0036554424578308766,-0.0025327771696324677,-0.000424063615648499,0.005944717220214465,0.010003967101575365,0.426
38,ine_048,0.003560815055079296,0.004255231172561516,0.0018895937076475952,0.008601011465233774,-0.015402181915596325,-0.00031337184785308863,0.0002624994895320183,0.0008730128182108568,0.04894819449696088,0.62
39,valorvehiculomercado,0.0034569033744721186,0.004491302729533289,0.002065564208031261,0.00524811750246754,-0.03921639829609245,0.00019394804098660928,0.0017391983925059131,0.003076178694872193,0.025412317814828507,0.772
40,dgc_002,0.003425079403950882,0.003425442298900752,8.535756814226692e-05,0.006174168386022525,-0.0034920456960465885,-0.002062092267362851,-0.001780838642950856,-0.001494526508181433,0.030786055279221413,0.098
