rank,feature,mean_abs_shap,mean_shap,sd_shap,min_shap,q25_shap,median_shap,q75_shap,max_shap,positive_share
94,ine_055,0.000142325433431746,6.95131507679733e-05,0.000191610516185835,-0.00040674024439916,-5.57763160105659e-05,2.69076890912842e-05,0.000158481561145546,0.000896516523208917,0.588
95,ine_045,0.000142053216104453,4.66294978483806e-05,0.000210268900856989,-0.00029938795441587,-8.28365609684453e-05,1.29082896816724e-05,0.000139874404008945,0.00166174086672355,0.534
96,ine_010,0.000141824740328169,5.9948182179876e-05,0.000235328598908834,-0.000432638668478835,-5.62753776435359e-05,9.97869141020809e-06,0.000120960778477619,0.00166774852993512,0.54
97,sea_003,0.000138579852984436,3.55341230651093e-05,0.000218543616074951,-0.000483652157653304,-8.96367129078989e-05,2.47195153506619e-06,9.71142496634318e-05,0.0013492917768976,0.506
98,ine_050,0.000138525005641481,7.38278972500778e-05,0.000245767439412411,-0.000381183460747471,-5.1446192976656e-05,2.16353198454714e-05,0.000106168026211664,0.00162029176387988,0.574
99,ine_044,0.000137998682937214,5.36097188770275e-05,0.000212185241549016,-0.00044064086060505,-7.19728747853585e-05,2.01561925606157e-07,0.000107199464735018,0.00128078858074518,0.5
100,ine_033,0.00013771199998651,7.67575084081174e-05,0.000221975477137769,-0.000339507294062781,-4.83348035988239e-05,1.86987367009794e-05,0.000119632880304793,0.00126104254796883,0.554
101,dgc_001,0.000136761557849753,6.98567682403377e-05,0.00019235929035976,-0.000498598172077686,-5.08076120457805e-05,1.68204652890503e-05,0.000170423539543006,0.00158411397783417,0.574
102,rep_003,0.000136638240745747,5.93125193523859e-05,0.00018649239907671,-0.000519407986428624,-4.78614720681149e-05,4.28644908974218e-05,0.000142728859790156,0.00113089403091006,0.62
103,dgc_004,0.000136324358409425,2.75840710608355e-05,0.00018603431635308,-0.000867538678004711,-8.23695633960166e-05,1.33712076500798e-05,0.000116787526245138,0.000772717897835033,0.542
104,osm_001,0.000135584836647127,6.37502918448508e-05,0.000256824585811091,-0.000355357131250528,-5.77680554359859e-05,1.34881936216792e-05,0.000107980920685018,0.0020916363791863,0.562
105,categoria,0.000134795306880285,-3.50133205914594e-05,0.000264650434242481,-0.00138928041752967,-5.53980506002516e-06,2.77703707919983e-05,6.65408201247888e-05,0.000999529608780574,0.688
106,dgc_014,0.000133998219640491,6.26003523156519e-05,0.000222437204556338,-0.000388417025013254,-5.71255151551672e-05,1.18998291212852e-05,0.000118845870141312,0.00147696998450664,0.538
107,sea_010,0.000132486428597855,5.59200445625212e-05,0.000221079476190507,-0.000552143679386358,-4.89777156425013e-05,2.79764947411679e-05,0.000107525032054251,0.00197457849034493,0.594
108,ine_006,0.000128567686995613,6.47464609170032e-05,0.000183129490946093,-0.000351776378746628,-4.76112141513802e-05,3.16972445734797e-05,0.000137572257032825,0.00148283129942233,0.604
109,ine_024,0.000128337761624651,5.14609819566488e-05,0.000177742426771891,-0.000411150890550755,-6.28003288560527e-05,1.31221333467916e-05,0.000127885588696526,0.00105288236364792,0.534
110,ine_043,0.000127062811966341,4.57083800087089e-05,0.000211011016550142,-0.00040916086710701,-6.76400791227527e-05,1.4199267915774e-05,0.000123550402676559,0.0023456632845653,0.552
111,ine_057,0.000126787728463801,4.2873043677556e-05,0.000186990690545589,-0.000355115964692351,-7.36867970313828e-05,1.87497735022e-05,0.000109396111940064,0.00107811527218589,0.54
112,ine_056,0.000126336570243834,6.77845710240438e-05,0.000189364454403779,-0.00029183733189251,-4.22818306146552e-05,2.43531645472157e-05,0.000125893780878333,0.000986864194205695,0.594
113,rep_010,0.000122929087138832,2.87728106796307e-05,0.000186104310020001,-0.000400218339796614,-8.38793883410077e-05,-1.70232523145201e-05,8.41657191557633e-05,0.00103766846063649,0.438
