candidate,fold,ntree,mtry,nodesize,nsplit,splitrule,threshold_rule,selected_threshold,selected_quantile,training_oob_gmean,fit_seconds,threshold,tn,fp,fn,tp,sensitivity,specificity,gmean,precision,npv,f1,p4,informedness,markedness,roc_auc,pr_auc,predicted_positive,predicted_positive_rate,balance_gap
2,4,500,48,10,10,gini,q_star_prevalence,0.00418848167539267,0.77680290491471,0.769853862118641,311.292,0.00418848167539267,68578,19864,68,304,0.817204301075269,0.775400827661066,0.796028197629925,0.0150733835779453,0.999009410599307,0.0296007789678676,0.00954195214559788,0.592605128736335,0.0140827941772519,0.871704966477028,0.0310448703027037,20168,0.227081316008737,0.0418034734142029
3,0,500,24,20,10,gini,gmean_optimized,0.00395784853244902,0.748023273161271,0.786962691207038,157.148,0.00395784853244902,65838,22605,68,304,0.817204301075269,0.744411654964214,0.779959233682963,0.0132698939281505,0.998968227475495,0.0261157166788368,0.00806423053782318,0.561615956039483,0.012238121403646,0.862857360654739,0.0276552121303614,22909,0.257940663176265,0.0727926461110546
3,0,500,24,20,10,gini,q_star_prevalence,0.00418849346533093,0.755339062486805,0.784961834995567,157.148,0.00418849346533093,66467,21976,73,299,0.803763440860215,0.751523580158973,0.777204721213249,0.0134231200897868,0.998902915539525,0.0264052633902945,0.00809930244143705,0.555287021019188,0.012326035629312,0.862857360654739,0.0276552121303614,22275,0.25080222935315,0.0522398607012425
3,1,500,24,20,10,gini,gmean_optimized,0.00303248484825899,0.708246659479422,0.780936110537051,159.27,0.00303248484825899,62697,25746,40,332,0.89247311827957,0.708897255859706,0.795406653528208,0.012731037656262,0.999362417712036,0.0251039697542533,0.00804943235322052,0.601370374139276,0.0120934553682979,0.877667351878052,0.0275471055761417,26078,0.2936215729325,0.183575862419864
3,1,500,24,20,10,gini,q_star_prevalence,0.00418849346533093,0.750815602138158,0.777717550985613,159.27,0.00418849346533093,66603,21840,60,312,0.838709677419355,0.753061293714596,0.794732530307128,0.0140845070422535,0.999099950497277,0.0277037826318594,0.00888776512179163,0.591770971133951,0.013184457539531,0.877667351878052,0.0275471055761417,22152,0.249417328154028,0.085648383704759
3,2,500,24,20,10,gini,gmean_optimized,0.00401496587937266,0.749272359806113,0.786653016184407,156.216,0.00401496587937266,66456,21988,68,304,0.817204301075269,0.751390710506083,0.783606865981643,0.0136371792571326,0.99897781251879,0.0268266854924109,0.00836521017568248,0.568595011581352,0.0126149917759228,0.864260229302498,0.0291714251104659,22292,0.250990812466222,0.0658135905691859
3,2,500,24,20,10,gini,q_star_prevalence,0.00418850525533556,0.754679697571906,0.784618796330046,156.216,0.00418850525533556,66955,21489,69,303,0.814516129032258,0.757032698656777,0.785248586920576,0.0139041850220264,0.998970518023395,0.0273416350839199,0.00856470752157435,0.571548827689035,0.012874703045421,0.864260229302498,0.0291714251104659,21792,0.245361196180868,0.057483430375481
3,3,500,24,20,10,gini,gmean_optimized,0.00352034122525926,0.734037043292237,0.786864885282985,155.47,0.00352034122525926,64610,23832,58,314,0.844086021505376,0.730535266050067,0.785260852385736,0.0130042243021619,0.999103111276056,0.0256138347336651,0.00801166271227619,0.574621287555443,0.012107335578218,0.866071695610975,0.0291352616147306,24146,0.271871551782377,0.11355075545531
3,3,500,24,20,10,gini,q_star_prevalence,0.00418848167539267,0.756313685751281,0.782856052608413,155.47,0.00418848167539267,66675,21767,74,298,0.801075268817204,0.753883901313856,0.777121450548085,0.0135055517788353,0.998891369159088,0.0265632660337835,0.00814720016605146,0.55495917013106,0.0123969209379238,0.866071695610975,0.0291352616147306,22065,0.248440561172788,0.0471913675033489
3,4,500,24,20,10,gini,gmean_optimized,0.00366226007206148,0.737251590384507,0.78127034217612,157.675,0.00366226007206148,65175,23267,56,316,0.849462365591398,0.736923633567762,0.79119459871177,0.0133994826782004,0.999141512471064,0.0263828010853684,0.00838072639790495,0.58638599915916,0.0125409951492648,0.87324737821008,0.0281624918450499,23583,0.265532461098475,0.112538732023636
