rank,trial,mean_fpr,std_fpr,worst_fold_fpr,mean_pr_auc,mean_roc_auc,mean_precision,median_best_iteration,best_iterations,mean_training_rows,rus_ratio,learning_rate,tree_shape,min_child_samples,feature_fraction,reg_alpha,reg_lambda,min_split_gain,cat_smooth,cat_l2,relative_fpr_reduction_vs_baseline,relative_fpr_reduction_vs_screen_rus15,relative_fpr_reduction_vs_broad_best
11,0,0.190593244792907,0.019701583085737977,0.21750978042106692,0.049455510498783675,0.8942162035772926,0.017511717476985544,265,"[109, 265, 567, 448, 261]",8928.0,5,0.026485341497747728,d3_l7,50,0.9,0.01,0.01,0.1,50.0,1.0,0.16751779685678284,0.10805055223770939,0.0
12,17,0.19087587117761318,0.022258505916325985,0.21895210528696124,0.04954344718435065,0.8955183065616316,0.017525309376416255,231,"[189, 164, 334, 231, 258]",16368.0,10,0.02742914536023397,d3_l7,100,0.8,0.0,1.0,0.1,100.0,1.0,0.1662833279454516,0.10672790070283664,-0.0014828772395016274
13,21,0.191054537050087,0.022303007053638378,0.21504002532676045,0.04956289324477591,0.8954141483787879,0.017510575270810697,226,"[189, 164, 336, 256, 226]",16368.0,10,0.027427488566952346,d3_l7,100,0.8,0.0,1.0,0.1,100.0,1.0,0.16550294268413177,0.10589176967174925,-0.00242029699258859
14,27,0.1915520247112635,0.019750124258744832,0.2151466497817779,0.04933556423065718,0.8940682559032076,0.017424473465624278,91,"[26, 61, 116, 109, 91]",5952.0,3,0.08319206248429818,d3_l7,50,0.8,0.01,0.01,0.1,100.0,5.0,0.16332999251130273,0.10356359773083341,-0.005030503150299355
15,1,0.19156107599128985,0.015769825012396623,0.20709617602496552,0.04752842191891312,0.89340013608999,0.017377301170058944,69,"[22, 58, 97, 79, 69]",8928.0,5,0.09751029981938089,d5_l15,50,0.9,0.01,0.01,0.1,50.0,1.0,0.16329045790163813,0.10352123901959046,-0.005077993186140763
16,37,0.19244071712179991,0.02007158996982192,0.21930260956085207,0.049223607755533416,0.8960866163955992,0.017348439946583315,112,"[51, 194, 56, 112, 118]",11904.0,7,0.08520753976762536,d3_l7,50,0.8,1.0,0.01,0.2,100.0,5.0,0.159448319702574,0.09940464285460064,-0.009693272869667079
17,23,0.19245205395887083,0.023442543757731055,0.21755500780172315,0.05101531477180447,0.8953634766178071,0.0174030460992684,107,"[91, 79, 328, 160, 107]",16368.0,10,0.04532689487186964,d3_l7,100,0.8,0.0,1.0,0.1,100.0,1.0,0.15939880212858168,0.09935158805942278,-0.00975275471060657
18,10,0.19281838011966554,0.01974123528059759,0.21536791642169056,0.050220733570545864,0.8952514577450424,0.017311658389758712,56,"[56, 37, 78, 49, 82]",16368.0,10,0.08536657244908911,d4_l15,100,0.8,0.1,0.1,0.2,100.0,5.0,0.1577987453703333,0.09763723340232695,-0.011674785899029592
19,22,0.19297215290703643,0.01989514993084956,0.21465560128442857,0.05039643816469826,0.8954264286395899,0.017299177631472328,233,"[172, 136, 543, 233, 234]",16368.0,10,0.026841029985535007,d3_l7,100,0.8,0.0,1.0,0.1,100.0,1.0,0.1571270893053291,0.09691759849120846,-0.012481597218801037
20,24,0.19306261311468348,0.022890495872156854,0.2187598932657953,0.04994132856144083,0.8952295991835435,0.017339945452314348,295,"[237, 188, 729, 366, 295]",16368.0,10,0.02045238559254961,d3_l7,100,0.8,0.0,1.0,0.1,100.0,1.0,0.1567319729252043,0.09649425750479038,-0.012956221635554863
21,6,0.19311013581883604,0.017219433293413505,0.2154180140657154,0.047464845830355124,0.8923881927215886,0.017254658922437126,247,"[69, 74, 502, 378, 247]",8928.0,5,0.03915504850860687,d5_l15,50,0.9,0.0,1.0,0.05,20.0,5.0,0.15652440100682263,0.09627185796607059,-0.013205562603563465
22,11,0.1933543566685339,0.01979544398355342,0.21944325094412157,0.04975386374431584,0.8950431914923683,0.017267745553784193,70,"[70, 70, 100, 65, 79]",11904.0,7,0.06659415521334527,d3_l7,50,0.9,0.01,0.01,0.2,50.0,1.0,0.155457681610598,0.09512893890691541,-0.014486934616318798
23,9,0.19350362190546444,0.015722987305889037,0.21783767893082473,0.04243001828105529,0.8941408116141469,0.017198116272800254,185,"[86, 493, 185, 143, 205]",5952.0,3,0.036145339820504115,d5_l15,100,0.9,1.0,0.1,0.1,100.0,5.0,0.15480571383793298,0.09443039869477429,-0.015270095830100154
