candidate,fold,ntree,mtry,nodesize,nsplit,splitrule,threshold_rule,selected_threshold,selected_quantile,training_oob_gmean,fit_seconds,threshold,tn,fp,fn,tp,sensitivity,specificity,gmean,precision,npv,f1,p4,informedness,markedness,roc_auc,pr_auc,predicted_positive,predicted_positive_rate,balance_gap
3,3,500,12,10,10,gini,q_star_prevalence,0.00418848167539267,0.760502167426673,0.763410503912159,161.862,0.00418848167539267,67047,21395,85,287,0.771505376344086,0.758090047714887,0.76476829665264,0.0132367862743289,0.998733837812072,0.0260270245760406,0.00773200405369151,0.529595424058973,0.0119706240864006,0.845249000438414,0.025247182128441,21682,0.244128177989957,0.0134153286291994
3,4,500,12,10,10,gini,gmean_optimized,0.00374556737588652,0.743033271406857,0.763526103725273,162.339999999999,0.00374556737588652,65740,22702,70,302,0.811827956989247,0.743312001085457,0.776814947878062,0.0131281516258042,0.998936331864458,0.0258384668035592,0.00791364457228239,0.555139958074705,0.0120644834902626,0.855951613267963,0.0275641071998116,23004,0.259013218636701,0.0685159559037901
3,4,500,12,10,10,gini,q_star_prevalence,0.00418848167539267,0.75879074480662,0.75782099292075,162.339999999999,0.00418848167539267,67197,21245,79,293,0.787634408602151,0.759786074489496,0.773584937446874,0.0136038629399201,0.998825732802188,0.0267457781834779,0.00813144970697731,0.547420483091647,0.0124295957421081,0.855951613267963,0.0275641071998116,21538,0.242506811989101,0.0278483341126545
4,0,500,24,10,10,gini,gmean_optimized,0.00279770404115954,0.719908573744789,0.780811836963289,308.465,0.00279770404115954,63102,25341,62,310,0.833333333333333,0.713476476374614,0.771079587534373,0.0120852988187595,0.999018428218606,0.0238250778157784,0.00717842728287403,0.546809809707948,0.0111037270373651,0.850171269412448,0.0260769520305925,25651,0.288813826493273,0.119856856958719
4,0,500,24,10,10,gini,q_star_prevalence,0.00418849346533093,0.767687799605358,0.776440033883395,308.465,0.00418849346533093,67598,20845,86,286,0.768817204301075,0.764311477448752,0.766561030386605,0.0135346173867777,0.998729389515986,0.0266009394038041,0.00794304984115291,0.533128681749828,0.0122640069027637,0.850171269412448,0.0260769520305925,21131,0.237921522265383,0.00450572685232298
4,1,500,24,10,10,gini,gmean_optimized,0.00277370777370777,0.714155024925477,0.77830458622533,305.323,0.00277370777370777,63005,25438,41,331,0.889784946236559,0.7123797247945,0.796156237886942,0.0128448911482789,0.999349681185166,0.0253242033587085,0.00813662893610308,0.60216467103106,0.0121945723334453,0.871134212071951,0.0260799411594238,25769,0.290142430895682,0.177405221442059
4,1,500,24,10,10,gini,q_star_prevalence,0.00418849346533093,0.763496491292269,0.770635186406241,305.323,0.00418849346533093,67604,20839,62,310,0.833333333333333,0.764379317752677,0.798112000156555,0.0146579034469715,0.999083734815121,0.0288090702104921,0.00932827684976009,0.59771265108601,0.013741638262093,0.871134212071951,0.0260799411594238,21149,0.238124190733547,0.0689540155806565
4,2,500,24,10,10,gini,gmean_optimized,0.00259259259259259,0.710548390184035,0.777574436288207,302.709,0.00259259259259259,62666,25778,53,319,0.85752688172043,0.70853873637556,0.779481246203055,0.0122236272368471,0.999154961016598,0.0241036684423288,0.00742068998175125,0.56606561809599,0.011378588253445,0.862376755135258,0.0283148281099985,26097,0.293832192397766,0.14898814534487
4,2,500,24,10,10,gini,q_star_prevalence,0.00418850525533556,0.766837059263972,0.772657300073183,302.709,0.00418850525533556,67919,20525,79,293,0.787634408602151,0.767932250915834,0.777720942431545,0.0140743587280238,0.998838201123563,0.0276545540349221,0.00850298371929726,0.555566659517984,0.0129125598515862,0.862376755135258,0.0283148281099985,20818,0.234394703656999,0.0197021576863168
4,3,500,24,10,10,gini,gmean_optimized,0.00364114114114114,0.752336317063559,0.780466345750514,294.95,0.00364114114114114,66093,22349,77,295,0.793010752688172,0.747303317428371,0.76981787861821,0.0130277336159689,0.998836330663443,0.025634341327772,0.00771150574729354,0.540314070116543,0.0118640642794117,0.86153245319878,0.0281889822628518,22644,0.254959803634562,0.0457074352598009
