threshold,quantile,tn,fp,fn,tp,sensitivity,specificity,gmean,informedness,balance_gap
1.55400155400155e-06,0.504985655543896,224086,218128,165,1695,0.911290322580645,0.506736557413379,0.679546996806434,0.418026879994024,0.404553765167266
1.55815663837054e-06,0.505017181821048,224100,218114,165,1695,0.911290322580645,0.506768216293469,0.679568224168621,0.418058538874114,0.404522106287176
1.56233400201229e-06,0.505068974990655,224123,218091,165,1695,0.911290322580645,0.506820227310759,0.679603096252818,0.418110549891404,0.404470095269886
1.56653382459834e-06,0.505114012529443,224143,218071,165,1695,0.911290322580645,0.506865454282316,0.679633418349861,0.418155776862961,0.404424868298329
1.57075628773742e-06,0.505138783175777,224154,218060,165,1695,0.911290322580645,0.506890329116672,0.679650094926604,0.418180651697317,0.404399993463973
1.57500157500158e-06,0.50516580569905,224166,218048,165,1695,0.911290322580645,0.506917465299606,0.679668287089107,0.418207787880251,0.404372857281039
1.5792698719528e-06,0.505208591360899,224185,218029,165,1695,0.911290322580645,0.506960430922585,0.679697090350595,0.41825075350323,0.40432989165806
1.58356136617006e-06,0.505240117638051,224199,218015,165,1695,0.911290322580645,0.506992089802675,0.679718313025414,0.41828241238332,0.40429823277797
1.58787624727679e-06,0.505280651422961,224217,217997,165,1695,0.911290322580645,0.507032794077076,0.679745598347988,0.418323116657721,0.404257528503569
1.59221470696881e-06,0.505321185207871,224235,217979,165,1695,0.911290322580645,0.507073498351477,0.67977288257536,0.418363820932122,0.404216824229168
1.59657693904269e-06,0.505359467115841,224252,217962,165,1695,0.911290322580645,0.5071119412773,0.679798650006815,0.418402263857945,0.404178381303345
1.60096313942468e-06,0.505395497146872,224268,217946,165,1695,0.911290322580645,0.507148122854546,0.679822900814828,0.418438445435191,0.4041421997261
1.60537350619995e-06,0.505445038439539,224290,217924,165,1695,0.911290322580645,0.507197872523258,0.679856244263401,0.418488195103903,0.404092450057387
1.60980823964249e-06,0.505467557208934,224300,217914,165,1695,0.911290322580645,0.507220486009036,0.679871399835797,0.418510808589681,0.404069836571609
1.61426754224538e-06,0.505519350378541,224323,217891,165,1695,0.911290322580645,0.507272497026327,0.679906256370252,0.418562819606972,0.404017825554319
