rank,trial,mean_fpr,std_fpr,worst_fold_fpr,mean_pr_auc,mean_roc_auc,mean_precision,median_best_iteration,best_iterations,mean_training_rows,rus_ratio,learning_rate,tree_shape,min_child_samples,feature_fraction,reg_alpha,reg_lambda,min_split_gain,cat_smooth,cat_l2,relative_fpr_reduction_vs_baseline,relative_fpr_reduction_vs_screen_rus15
13,51,0.19391745108337405,0.016332170845744967,0.21692182447253566,0.04745862118151152,0.8939234858609192,0.017172096265466303,120,"[55, 80, 214, 240, 120]",8928.0,5,0.04316866922856908,d5_l15,50,0.9,0.01,0.01,0.1,50.0,1.0,0.15299817115127867,0.09249373663151246
14,36,0.1948717153717467,0.01423277587943606,0.20764551580661209,0.04474224417143725,0.8924850900915005,0.017069864407771772,115,"[65, 67, 115, 157, 150]",8928.0,5,0.048626043296025254,d6_l31,50,1.0,1.0,0.01,0.5,50.0,1.0,0.14883009038835063,0.08802791463473554
15,52,0.19545058263369633,0.019456710130255375,0.21909909095020577,0.04520607575345661,0.891970334536692,0.017077186905093064,247,"[90, 132, 480, 477, 247]",8928.0,5,0.025365274653774993,d8_l31,50,0.9,0.01,0.01,0.1,50.0,1.0,0.14630168654025552,0.08531889766414633
16,25,0.19605441022524334,0.015029250940024089,0.21573460573030914,0.04819235447121906,0.8933200529318341,0.016972355412595765,98,"[54, 60, 218, 140, 98]",8928.0,5,0.056651456360228565,d5_l15,50,0.9,0.01,0.01,0.1,50.0,5.0,0.14366425978215658,0.08249306987885836
17,16,0.19615389128666183,0.02111079533445177,0.2180864295244341,0.046292258208778976,0.893558092969595,0.017044551695024522,49,"[24, 30, 49, 82, 55]",8928.0,5,0.09822061620787768,d5_l15,50,0.9,0.01,0.01,0.1,50.0,1.0,0.14322974168960467,0.08202751257176993
18,17,0.1965699530434551,0.02198587838855242,0.21941567545565555,0.046492706511642556,0.8936578395934383,0.017021184890782665,53,"[24, 39, 68, 138, 53]",8928.0,5,0.09966366063151778,d5_l15,50,0.9,0.01,0.01,0.1,50.0,1.0,0.14141244743914347,0.0800804023548785
19,27,0.19671246454845975,0.02113342737521674,0.22889577350127768,0.04936133022100951,0.8920288646009897,0.016981946775764464,95,"[37, 50, 193, 204, 95]",8928.0,5,0.07798603282144555,d5_l31,50,0.9,0.01,0.01,0.1,50.0,1.0,0.14078997893671336,0.07941346865359859
20,44,0.19728227311571023,0.026609986440892432,0.2277034055447515,0.04137622303274728,0.8927957969291136,0.017025339066723325,203,"[104, 202, 203, 581, 362]",8928.0,5,0.026556629317594442,d3_l7,50,0.7,10.0,0.0,0.1,50.0,1.0,0.13830114208444205,0.07674684509387317
21,28,0.19730491326903238,0.020432442413449915,0.2210601298025825,0.045672843291813835,0.8916692737048937,0.016928716991950907,60,"[27, 50, 60, 132, 134]",8928.0,5,0.07932307423265536,d6_l63,50,0.9,0.1,0.01,0.5,50.0,1.0,0.1382022533502815,0.07664089237621578
22,54,0.1974224276515541,0.027124955896920985,0.23751752521369454,0.047772552060935176,0.8921754982589029,0.017023119656623734,174,"[162, 174, 64, 637, 343]",8928.0,5,0.019234137324548407,d3_l7,50,0.9,0.01,0.01,0.1,50.0,1.0,0.13768896846356374,0.07609094167513891
23,8,0.19760115895270755,0.01899423926107421,0.2259220732231293,0.049807429503828035,0.8914506258749857,0.016883148736955407,53,"[69, 98, 53, 50, 36]",31248.0,20,0.09012915111444605,d8_l31,50,0.6,0.01,0.0,0.01,50.0,1.0,0.1369082974197576,0.0752545044470783
24,59,0.19770519962198838,0.01879581893159209,0.2215350172994731,0.04434146929177077,0.8899730518357598,0.016877058393114153,86,"[86, 98, 66, 73, 92]",90768.0,60,0.03933857273638326,unlimited_l63,50,0.6,0.1,5.0,0.0,50.0,1.0,0.13645386365599274,0.07476760881963525
25,50,0.19773682012940336,0.023446528161149748,0.22394961783727557,0.04285315493071888,0.8924468465923632,0.0169343745862033,280,"[236, 280, 280, 536, 283]",8928.0,5,0.02217430529244393,d6_l63,100,0.7,5.0,0.1,0.1,50.0,5.0,0.13631575010581978,0.07461962931407931
26,11,0.1978793072673769,0.014268790640012125,0.21490920603333258,0.045885441209135645,0.8928266000027394,0.016809503806874706,239,"[145, 375, 169, 239, 257]",31248.0,20,0.022788509409372475,unlimited_l63,200,0.6,5.0,0.1,0.05,50.0,20.0,0.13569338803486247,0.07395280964706107
