rank,feature,mean_gain,std_gain,mean_split,folds,gain_share
33,tipocliente,193.77482995986938,260.50622084446354,6.8,5,0.0035093575301743413
34,sea_007,190.7682804107666,116.0729834517096,3.4,5,0.003454907438270397
35,ine_054,189.45830307006835,283.1814311520485,2.0,5,0.0034311831039701723
36,dgc_019,188.7394763946533,56.83937186099487,3.2,5,0.003418164799132643
37,ine_020,185.83937969207764,351.77060034228055,2.8,5,0.0033656426206664022
38,sea_010,181.0033227920532,151.74122724742904,3.4,5,0.003278059250308306
39,ine_005,178.4913818359375,203.75889229455345,2.6,5,0.003232566763427922
40,rep_004,175.89505844116212,223.39594434970815,1.8,5,0.003185546069057504
41,ine_057,171.4171217918396,157.6735781003243,3.8,5,0.003104448432676153
42,ine_016,169.8224193572998,143.22288965720998,2.6,5,0.00307556758680882
43,dgc_015,168.91483993530272,213.44089047512642,2.4,5,0.003059130876842534
44,dgc_003,162.28014068603517,189.28378459458156,3.2,5,0.0029389732083998314
45,dgc_006,159.62890014648437,242.8438277541196,2.8,5,0.002890957937511951
46,ine_053,157.79083709716798,110.60897326283778,1.6,5,0.0028576697111494785
47,ine_008,156.14365997314454,140.42568783448948,2.8,5,0.0028278385228319883
48,dgc_010,149.99327697753907,98.97159708579292,2.4,5,0.00271645206008265
49,ine_040,148.93801860809327,202.23926529043078,2.4,5,0.002697340811702966
50,formapago_agrupado,148.04583854675292,145.1287791413971,3.4,5,0.002681182991736438
51,rep_010,143.73027667999267,160.88742120480313,2.0,5,0.00260302604257444
52,dgc_017,142.6827522277832,205.6524165227071,4.0,5,0.0025840548592418865
53,dgc_009,139.81321887969972,176.05197279681272,2.6,5,0.0025320861981662003
54,dgc_001,139.7269055366516,151.07746347270825,3.8,5,0.0025305230210474635
55,ine_051,132.80505752563477,268.99954687034466,1.6,5,0.0024051649472191187
56,ine_044,130.44513130187988,76.31432698684013,3.6,5,0.0023624255219505982
57,sea_006,129.49136972427368,153.42464086784602,2.8,5,0.002345152430419276
58,ine_009,129.19273767471313,121.50778834809815,2.2,5,0.002339744057040268
59,rep_006,123.54909763336181,89.8006098467366,1.6,5,0.002237534958568545
60,sea_004,123.47073745727539,143.75509116218348,2.4,5,0.002236115817217361
61,ine_047,122.42824058532715,176.901414666233,0.8,5,0.002217235685837489
62,ine_045,113.29470081329346,122.58770094222456,2.8,5,0.002051822785809289
63,dgc_014,110.55759391784667,111.09277023345105,3.4,5,0.002002252432959966
64,dgc_008,109.47794132232666,128.60166436049624,2.6,5,0.001982699393141301
65,ine_007,102.94339904785156,142.02806710643122,1.8,5,0.0018643556168008908
66,rep_007,99.93454160690308,68.65517349669369,2.4,5,0.0018098637278398712
67,ine_035,98.66476154327393,114.44789077761716,1.4,5,0.0017868673860090716
68,ine_018,98.48508186340332,88.55554783425478,2.2,5,0.001783613298583456
69,ine_017,96.63067951202393,65.87209655296094,2.0,5,0.0017500291594197987
70,dgc_004,95.15553932189941,97.37006934457058,2.2,5,0.0017233136446372626
71,ine_027,91.50447101593018,88.94630921497067,2.2,5,0.001657191000868784
72,rep_002,91.33959980010987,75.98923050900206,1.4,5,0.001654205102014594
73,ine_050,89.28890895843506,69.97322772999308,1.6,5,0.0016170660816950744
74,sea_003,89.13748607635497,104.54577717832812,2.0,5,0.0016143237387830538
75,ine_036,88.83025979995728,73.80897459390164,2.0,5,0.0016087597197266728
76,sea_002,86.97238979339599,125.58356912893608,3.0,5,0.0015751127796211845
77,ine_001,86.42239990234376,84.93742397657886,1.4,5,0.0015651521920356677
78,ine_015,86.0627236366272,28.854085861318012,2.0,5,0.0015586382778612685
79,ine_034,85.63018531799317,74.30794943062783,2.4,5,0.0015508047960519867
80,rep_009,84.47409934997559,120.22609447392281,1.4,5,0.0015298675102433418
81,ine_041,84.29867992401122,78.80011556552734,2.0,5,0.0015266905781125052
82,dgc_002,77.83446083068847,74.25557042418964,2.2,5,0.001409620389189893
83,dgc_007,75.74859981536865,64.026768523909,2.2,5,0.0013718444197178738
84,ign_001,75.71081924438477,136.24283144096447,1.8,5,0.0013711601949849505
85,ine_012,73.50471992492676,98.89859376330037,1.6,5,0.0013312066506538534
86,ine_042,71.76187915802002,92.04435573100353,1.6,5,0.001299642946686183
87,ine_021,68.7398193359375,77.30430836903811,1.8,5,0.0012449119561057293
88,ine_028,67.23656044006347,78.59355815348788,1.0,5,0.001217687197724418
89,ine_006,65.64986095428466,69.39797566773993,1.4,5,0.0011889512891975222
90,ine_024,63.489479064941406,118.70959903719812,0.8,5,0.00114982571002406
